id,timestamp,reply_to,comment,social_media,conversation_id,head_id,user_id
10000,2023-04-14T15:00:17.000Z,30354991,@KamalaHarris Thanks for your service and putting your neck on the line for the Freedoms of the USA! We love you! I put my neck out in the Muzik Biz 😘 https://t.co/7yiIp9ZT3G,Twitter,1643638127804796931,30354991,1643671480226521104
10001,2023-04-13T20:07:28.000Z,30354991,@KamalaHarris @TheDemocrats https://t.co/ynM7uyS1S6,Twitter,1643638127804796931,30354991,1595183698562908160
10002,2023-04-13T15:26:25.000Z,30354991,@KamalaHarris https://t.co/o1agY0xjPa,Twitter,1643638127804796931,30354991,1331024356542193665
10003,2023-04-13T03:45:01.000Z,30354991,@KamalaHarris @TheDemocrats https://t.co/0Cv1Vc6iFu,Twitter,1643638127804796931,30354991,1595183698562908160
10004,2023-04-13T01:52:37.000Z,30354991,@KamalaHarris Pull your head out of your ass,Twitter,1643638127804796931,30354991,1643706674346328064
10005,2023-04-12T23:22:56.000Z,30354991,@KamalaHarris It’s time for you to leave office,Twitter,1643638127804796931,30354991,1313480587630587906
10006,2023-04-12T23:12:11.000Z,30354991,@KamalaHarris It's been time. But later it better than never.,Twitter,1643638127804796931,30354991,1628534482444910593
10007,2023-04-11T01:38:08.000Z,30354991,@KamalaHarris No that's just stupidity,Twitter,1643638127804796931,30354991,1574040594141401090
10008,2023-04-09T12:46:26.000Z,30354991,"@KamalaHarris It time for you to start doing your job, do you know what that is?",Twitter,1643638127804796931,30354991,1521320092985872384
10009,2023-04-09T02:14:51.000Z,30354991,@KamalaHarris Are you this dumb?  It is a state issue.,Twitter,1643638127804796931,30354991,182632892
10010,2023-04-09T00:12:42.000Z,30354991,@KamalaHarris Go to hell you devil woman!!!,Twitter,1643638127804796931,30354991,1574040594141401090
10011,2023-04-08T13:04:37.000Z,30354991,@KamalaHarris The Supreme Court says otherwise!,Twitter,1643638127804796931,30354991,1588629017674014721
